,ids,gender,age,ethnicity
73,5237,1. Female,52,White
74,5252,1. Female,41,Hispanic
75,5370,0. Male,90,White
76,5398,0. Male,55,Other
77,5404,0. Male,64,Hispanic
78,5416,1. Female,72,White
79,5424,1. Female,44,Other
80,5730,0. Male,67,White
81,5871,1. Female,76,Black
82,5891,1. Female,60,White
83,5894,0. Male,55,Black
84,5916,0. Male,83,White
85,5949,0. Male,53,Black
86,6010,0. Male,88,White
87,6073,0. Male,46,White
88,6076,1. Female,42,White
89,6100,0. Male,65,White
90,6108,0. Male,56,White
91,6127,0. Male,46,Black
92,6143,0. Male,59,White
93,6222,0. Male,84,Hispanic
94,6283,0. Male,45,Black
95,6285,0. Male,48,White
96,6291,0. Male,66,White
97,6354,1. Female,60,White
98,6355,0. Male,91,White
99,6380,0. Male,84,White
100,6399,1. Female,90,White
101,6454,1. Female,34,Black
102,6498,1. Female,73,Other
103,6565,1. Female,90,White
104,6569,0. Male,60,Black
105,6659,1. Female,68,White
106,6702,1. Female,67,Hispanic
107,6731,0. Male,72,Other
108,6768,1. Female,36,White
109,6815,0. Male,18,White
110,6875,0. Male,48,White
111,6906,0. Male,47,Hispanic
112,6912,0. Male,51,White
113,6921,1. Female,61,White
114,6941,1. Female,39,White
115,7001,0. Male,88,White
116,7214,0. Male,43,White
117,7215,0. Male,40,White
118,7245,1. Female,38,White
119,7264,0. Male,48,White
120,7290,1. Female,49,White
121,7299,1. Female,53,White
122,7315,1. Female,58,Other
123,7321,0. Male,75,White
124,7325,1. Female,36,White
125,7351,0. Male,78,White
126,7384,1. Female,35,White
127,7417,0. Male,31,White
128,7493,1. Female,75,White
129,7496,0. Male,82,White
130,7572,1. Female,72,White
131,7745,0. Male,31,White
132,7761,0. Male,84,White
133,7973,0. Male,25,White
134,7999,0. Male,59,White
135,8007,0. Male,26,
136,8348,0. Male,49,Black
137,8352,0. Male,90,White
138,8381,1. Female,33,Other
139,8450,0. Male,46,Black
140,8475,0. Male,60,Hispanic
141,8485,1. Female,68,White
142,8514,0. Male,35,Hispanic
143,8526,0. Male,57,Black
144,8541,1. Female,44,Hispanic
145,8693,0. Male,41,White
146,9141,1. Female,41,White
147,9203,1. Female,58,White
148,9240,1. Female,70,Black
149,9246,0. Male,90,White
150,9256,1. Female,24,White
151,9326,1. Female,82,Hispanic
152,9395,0. Male,20,Black
153,9396,0. Male,35,White
154,9523,0. Male,89,White
155,9542,0. Male,63,White
156,9586,1. Female,24,White
157,9688,0. Male,54,White
158,9733,0. Male,52,White
159,9734,0. Male,21,Black
160,9735,0. Male,71,White
161,9759,1. Female,29,White
162,9760,1. Female,32,White
163,9765,0. Male,62,White
164,9847,0. Male,49,White
165,9971,0. Male,38,White
166,9988,0. Male,31,White
167,9990,0. Male,38,Hispanic
168,10036,1. Female,35,Black
169,10109,0. Male,19,White
170,10172,0. Male,76,Black
171,10180,0. Male,35,White
172,10201,0. Male,59,Black
173,10263,1. Female,61,Black
174,10307,1. Female,19,White
175,10381,0. Male,19,White
176,10413,0. Male,37,White
177,10448,0. Male,59,White
178,10469,1. Female,50,White
179,10508,0. Male,68,White
180,10542,0. Male,83,Other
181,10569,1. Female,26,Black
182,10573,0. Male,33,White
183,10580,0. Male,36,Other
184,10581,1. Female,59,White
185,10592,0. Male,48,White
186,10600,0. Male,56,White
187,10621,1. Female,41,Black
188,10705,0. Male,79,Other
189,10706,0. Male,86,Black
190,10747,0. Male,62,Black
191,10756,0. Male,31,White
192,10766,0. Male,27,White
193,10768,1. Female,51,Black
194,10815,0. Male,66,White
195,10843,0. Male,46,White
196,10858,0. Male,71,White
197,10896,0. Male,67,White
198,10931,1. Female,21,Other
199,11005,1. Female,56,Other
200,11071,1. Female,21,Other
201,11083,0. Male,69,White
202,11114,0. Male,64,Hispanic
203,11232,0. Male,79,White
204,11283,0. Male,22,White
205,11367,1. Female,70,Hispanic
206,11391,1. Female,54,Hispanic
207,11422,1. Female,27,White
208,11663,1. Female,34,Hispanic
209,11832,1. Female,72,White
210,11867,0. Male,79,White
211,11977,0. Male,38,Hispanic
212,12065,0. Male,80,Hispanic
213,12070,0. Male,19,Hispanic
214,12251,0. Male,84,White
215,12338,1. Female,91,White
216,12388,0. Male,35,Black
217,12535,1. Female,52,White
218,12637,0. Male,85,White
219,12736,0. Male,30,White
220,12761,1. Female,56,White
221,12800,0. Male,48,White
222,12845,1. Female,79,White
223,12906,0. Male,33,Other
224,12910,1. Female,45,Black
225,12956,1. Female,43,Hispanic
226,13003,1. Female,28,Other
227,13012,1. Female,87,
228,13065,1. Female,35,White
229,13101,0. Male,71,Other
230,13266,1. Female,45,White
231,13317,0. Male,75,White
232,13444,0. Male,17,White
233,13465,0. Male,19,Black
234,13469,1. Female,51,White
235,13547,0. Male,72,White
236,13550,1. Female,33,White
237,13657,1. Female,48,Other
238,13679,0. Male,65,White
239,13686,0. Male,65,Other
240,13705,1. Female,51,White
241,13714,0. Male,33,White
242,13835,1. Female,89,White
243,13837,1. Female,64,Other
244,13887,0. Male,82,White
245,13966,1. Female,44,White
246,13981,0. Male,19,Hispanic
247,14072,1. Female,39,White
248,14105,1. Female,22,White
